	SMILES	Mol. weight [kg/kmol]	Sensitivity, $-\Delta G_{PFOS}$ [kJ/mol]	$\Delta G_{SDS}$ [kJ/mol]	Selectivity, $-\Delta\Delta G_{PFOS - SDS}$ [kJ/mol]	$K_b^\mathrm{PFOS}$	$K_b^\mathrm{SDS}$	$K_b^\mathrm{PFOS}/K_b^\mathrm{SDS}$
0	CCCCC(Br)(Br)C(Br)(Br)P(C)C	457.76	3.0$\pm$0.3	4.2$\pm$0.4	-1.2$\pm$0.5	12.3$\pm$1.3	16.1$\pm$2.3	0.8$\pm$0.1
1	C[N+](C)(C)CCCCCCCCCC(F)(F)F	254.21	3.6$\pm$0.6	5.8$\pm$0.3	-2.2$\pm$0.7	9.5$\pm$2.0	16.1$\pm$0.8	0.6$\pm$0.1
2	CCCCCCCCC(Cl)(Cl)C(Cl)(Cl)C(Cl)(Cl)C(Cl)(Cl)C(Cl)(Cl)[N+](C)(C)C	581.89	7.4$\pm$0.7	9.8$\pm$0.2	-2.4$\pm$0.7	69.7$\pm$14.6	115.1$\pm$13.1	0.6$\pm$0.1
3	PCCCCCCC(Br)(Br)C(Br)(Br)C(Br)(Br)C(Br)(Br)C(Br)(Br)C(Br)(Br)C(Br)(Br)Br	1384.86	7.5$\pm$0.5	9.6$\pm$0.4	-2.2$\pm$0.6	76.9$\pm$13.5	125.5$\pm$20.8	0.6$\pm$0.1
4	CCC(Br)(Br)C(Br)(Br)C(Br)(Br)C(Br)(Br)C(Br)(Br)C(Br)(Br)C(Br)(Br)C(Br)(Br)Br	1466.65	4.0$\pm$0.5	7.4$\pm$0.8	-3.5$\pm$1.0	21.7$\pm$3.8	66.6$\pm$17.7	0.3$\pm$0.1
5	C[N+](C)(C)CCC(Cl)(Cl)C(Cl)(Cl)C(Cl)(Cl)C(Cl)(Cl)C(Cl)(Cl)C(Cl)(Cl)C(Cl)(Cl)Cl	695.64	6.6$\pm$0.8	8.3$\pm$0.1	-1.8$\pm$0.8	55.9$\pm$13.6	74.0$\pm$2.2	0.8$\pm$0.2
6	CN(C)CC(Br)(Br)C(Br)(Br)C(Br)(Br)C(Br)(Br)C(Br)(Br)C(Br)(Br)C(Br)(Br)C(Br)(Br)Br	1495.68	3.0$\pm$0.4	8.6$\pm$0.4	-5.5$\pm$0.6	17.3$\pm$2.3	79.6$\pm$12.8	0.2$\pm$0.0
7	CCC(Cl)(Cl)C(Cl)(Cl)C(Cl)(Cl)C(Cl)(Cl)C(Cl)(Cl)C(Cl)(Cl)C(Cl)(Cl)C(Cl)(Cl)C(Cl)(Cl)C(P)(Cl)Cl	881.41	7.2$\pm$0.6	10.0$\pm$0.2	-2.8$\pm$0.6	56.7$\pm$11.3	139.4$\pm$7.3	0.4$\pm$0.1
8	CN(C)CCCC(Br)(Br)C(Br)(Br)C(Br)(Br)C(Br)(Br)C(Br)(Br)C(Br)(Br)C(Br)(Br)C(Br)(Br)C(Br)(Br)Br	1693.55	6.4$\pm$0.6	5.5$\pm$0.9	0.9$\pm$1.1	53.6$\pm$11.6	29.9$\pm$8.9	1.8$\pm$0.7
9	CP(C)CC(Cl)(Cl)C(Cl)(Cl)C(Cl)(Cl)C(Cl)(Cl)C(Cl)(Cl)C(Cl)(Cl)C(Cl)(Cl)C(Cl)(Cl)C(Cl)(Cl)C(Cl)(Cl)Cl	929.38	6.7$\pm$0.6	7.6$\pm$0.4	-0.8$\pm$0.7	46.4$\pm$10.3	61.1$\pm$8.7	0.8$\pm$0.2
