Catalog,SMILES,SELFIES
S1002,CN(C)CCC(CSc1ccccc1)Nc1ccc(S(=O)(=O)NC(=O)c2ccc(N3CCN(Cc4ccccc4-c4ccc(Cl)cc4)CC3)cc2)cc1[N+](=O)[O-],[C][N][Branch1_3][epsilon][C][C][C][C][Branch1_3][F][C][S][c][c][c][c][c][c][Ring1][Branch1_1][N][c][c][c][c][Branch2_3][Ring1][#N][S][Branch1_1][epsilon][=O][Branch1_3][epsilon][=O][N][C][Branch1_3][epsilon][=O][c][c][c][c][Branch2_3][epsilon][O][N][C][C][N][Branch1_3][=S][C][c][c][c][c][c][c][Ring1][Branch1_1][-c][c][c][c][Branch1_3][epsilon][Cl][c][c][Ring1][Branch1_2][C][C][Ring1][#C][c][c][Ring2][epsilon][Branch1_3][c][c][Ring2][epsilon][#C][N+expl][Branch1_3][epsilon][=O][O-expl]
S1003,Cc1ccc(F)c(NC(=O)Nc2ccc(-c3cccc4[nH]nc(N)c34)cc2)c1,[C][c][c][c][c][Branch1_3][epsilon][F][c][Branch2_3][epsilon][N][N][C][Branch1_3][epsilon][=O][N][c][c][c][c][Branch1_3][C][-c][c][c][c][c][nHexpl][n][c][Branch1_3][epsilon][N][c][Ring1][Branch2_2][Ring1][Branch1_1][c][c][Ring1][=N][c][Ring2][epsilon][Branch2_1]
S1004,CC1(c2nc3c(C(N)=O)cccc3[nH]2)CCCN1,[C][C][Branch1_3][=S][c][n][c][c][Branch1_3][Branch1_2][C][Branch1_2][epsilon][N][=O][c][c][c][c][Ring1][Branch2_1][nHexpl][Ring1][F][C][C][C][N][Ring1][#N]
S1005,CNC(=O)c1ccccc1Sc1ccc2c(/C=C/c3ccccn3)n[nH]c2c1,[C][N][C][Branch1_3][epsilon][=O][c][c][c][c][c][c][Ring1][Branch1_1][S][c][c][c][c][c][Branch1_3][F][/C][=C][/c][c][c][c][c][n][Ring1][Branch1_1][n][nHexpl][c][Ring1][O][c][Ring1][#N]
S1006,CN1CCN(CCOc2cc(OC3CCOCC3)c3c(Nc4c(Cl)ccc5c4OCO5)ncnc3c2)CC1,[C][N][C][C][N][Branch2_3][Ring1][Branch2_3][C][C][O][c][c][c][Branch1_3][Branch2_3][O][C][C][C][O][C][C][Ring1][Branch1_1][c][c][Branch1_3][=C][N][c][c][Branch1_3][epsilon][Cl][c][c][c][c][Ring1][Branch1_2][O][C][O][Ring1][Ring2][n][c][n][c][Ring1][#N][c][Ring2][epsilon][Branch2_2][C][C][Ring2][epsilon][=C]
S1007,Cc1nc(C(=O)NCC(=O)O)c(O)c2ccc(Oc3ccccc3)cc12,[C][c][n][c][Branch1_3][O][C][Branch1_3][epsilon][=O][N][C][C][Branch1_3][epsilon][=O][O][c][Branch1_3][epsilon][O][c][c][c][c][Branch1_3][Branch2_3][O][c][c][c][c][c][c][Ring1][Branch1_1][c][c][Ring2][epsilon][Branch1_2][Ring1][O]
S1008,Cn1cnc2c(F)c(Nc3ccc(Br)cc3Cl)c(C(=O)NOCCO)cc21,[C][n][c][n][c][c][Branch1_3][epsilon][F][c][Branch1_3][N][N][c][c][c][c][Branch1_3][epsilon][Br][c][c][Ring1][Branch1_2][Cl][c][Branch1_3][Branch2_3][C][Branch1_3][epsilon][=O][N][O][C][C][O][c][c][Ring2][epsilon][Ring2][Ring2][epsilon][Branch1_3]
S1010,COC(=O)c1ccc2c(c1)NC(=O)/C2=C(\Nc1ccc(N(C)C(=O)CN2CCN(C)CC2)cc1)c1ccccc1,[C][O][C][Branch1_3][epsilon][=O][c][c][c][c][c][Branch1_3][Ring2][c][Ring1][Branch1_1][N][C][Branch1_3][epsilon][=O][/C][Ring1][Branch1_2][=C][Branch2_3][epsilon][=O][\N][c][c][c][c][Branch1_3][=S][N][Branch1_3][epsilon][C][C][Branch1_3][epsilon][=O][C][N][C][C][N][Branch1_3][epsilon][C][C][C][Ring1][Branch1_2][c][c][Ring1][C][c][c][c][c][c][c][Ring1][Branch1_1]
S1011,CN(C)C/C=C/C(=O)Nc1cc2c(Nc3ccc(F)c(Cl)c3)ncnc2cc1OC1CCOC1,[C][N][Branch1_3][epsilon][C][C][/C][=C][/C][Branch1_3][epsilon][=O][N][c][c][c][c][Branch1_3][#N][N][c][c][c][c][Branch1_3][epsilon][F][c][Branch1_3][epsilon][Cl][c][Ring1][Branch1_3][n][c][n][c][Ring1][N][c][c][Ring1][=C][O][C][C][C][O][C][Ring1][Ring2]
S1012,Cc1cc(N2CCOCC2)cc2[nH]c(-c3c(NCC(O)c4cccc(Cl)c4)cc[nH]c3=O)nc12,[C][c][c][c][Branch1_3][Branch2_2][N][C][C][O][C][C][Ring1][Branch1_1][c][c][nHexpl][c][Branch2_3][epsilon][Branch2_3][-c][c][Branch1_3][=C][N][C][C][Branch1_3][epsilon][O][c][c][c][c][c][Branch1_3][epsilon][Cl][c][Ring1][Branch1_2][c][c][nHexpl][c][Ring1][#N][=O][n][c][Ring2][epsilon][N][Ring2][epsilon][Ring2]
