,Unnamed: 0,smiles,molwt,ccount,fcount,clcount,brcount
0,0,CCCCCCCCCCCC(Br)(Br)Br,403.934987036,12,0,0,3
1,1,CC(Br)(Br)C(Br)(Br)C(Br)(Br)C(Br)(Br)C(Br)(Br)Br,943.1251831960002,6,0,0,11
2,2,CCCCCCCC(Br)(Br)Br,347.87238678,8,0,0,3
3,3,CCCCCCC(F)(F)C(F)(F)C(F)(F)F,254.090547956,9,7,0,0
4,4,CCCCC(Cl)(Cl)C(Cl)(Cl)C(Cl)(Cl)C(Cl)(Cl)C(Cl)(Cl)C(Cl)(Cl)C(Cl)(Cl)Cl,665.6032154880002,11,0,15,0
5,5,CCC(Cl)(Cl)C(Cl)(Cl)C(Cl)(Cl)Cl,309.82109392,5,0,7,0
6,6,BrC(Br)(Br)C(Br)(Br)C(Br)(Br)C(Br)(Br)C(Br)(Br)C(Br)(Br)Br,1176.8567194000002,6,0,0,14
7,7,CCC(Cl)(Cl)C(Cl)(Cl)C(Cl)(Cl)C(Cl)(Cl)C(Cl)(Cl)C(Cl)(Cl)C(Cl)(Cl)C(Cl)(Cl)Cl,719.5096207200003,10,0,17,0
8,8,CCCCCCC(F)(F)C(F)(F)C(F)(F)C(F)(F)F,304.087354396,10,9,0,0
9,9,CCCC(Br)(Br)C(Br)(Br)C(Br)(Br)C(Br)(Br)C(Br)(Br)C(Br)(Br)Br,1140.993157524,9,0,0,13
10,10,CCCCCCCCCC(F)(F)C(F)(F)F,246.140691708,11,5,0,0
11,11,CC(Cl)(Cl)C(Cl)(Cl)C(Cl)(Cl)C(Cl)(Cl)C(Cl)(Cl)Cl,459.680854576,6,0,11,0
12,12,ClC(Cl)(Cl)C(Cl)(Cl)C(Cl)(Cl)C(Cl)(Cl)C(Cl)(Cl)C(Cl)(Cl)C(Cl)(Cl)C(Cl)(Cl)C(Cl)(Cl)C(Cl)(Cl)C(Cl)(Cl)C(Cl)(Cl)C(Cl)(Cl)C(Cl)(Cl)Cl,1217.065580400001,14,0,30,0
13,13,CCCCC(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)F,326.052860708,9,11,0,0
14,14,CC(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)F,433.99632983600003,9,17,0,0
15,15,CCCCCCCCC(Br)(Br)C(Br)(Br)Br,531.7247110440001,10,0,0,5
16,16,CCCCCCCCC(Cl)(Cl)C(Cl)(Cl)C(Cl)(Cl)C(Cl)(Cl)C(Cl)(Cl)C(Cl)(Cl)Cl,639.728110384,14,0,13,0
17,17,CCCCC(F)(F)C(F)(F)C(F)(F)C(F)(F)F,276.056054268,8,9,0,0
18,18,CCCC(Br)(Br)C(Br)(Br)C(Br)(Br)C(Br)(Br)C(Br)(Br)Br,971.1564833240002,8,0,0,11
19,19,CCCCCCCC(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)F,468.09342378,14,15,0,0
20,20,CCCCCCCC(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)F,368.0998109,12,11,0,0
21,21,CCC(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)F,298.02156058,7,11,0,0
22,22,CC(Br)(Br)C(Br)(Br)C(Br)(Br)C(Br)(Br)Br,773.2885089960001,5,0,0,9
23,23,CCCC(Cl)(Cl)C(Cl)(Cl)C(Cl)(Cl)C(Cl)(Cl)C(Cl)(Cl)C(Cl)(Cl)C(Cl)(Cl)C(Cl)(Cl)C(Cl)(Cl)C(Cl)(Cl)C(Cl)(Cl)Cl,979.3383868640005,14,0,23,0
24,24,CCCC(Cl)(Cl)C(Cl)(Cl)C(Cl)(Cl)C(Cl)(Cl)C(Cl)(Cl)Cl,487.712154704,8,0,11,0
25,25,CCCCCCCCCC(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)F,396.131111028,14,11,0,0
26,26,CCCCCCCCCC(F)(F)F,196.143885268,10,3,0,0
27,27,CCCCCC(Br)(Br)C(Br)(Br)C(Br)(Br)C(Br)(Br)Br,829.3511092520001,9,0,0,9
28,28,CCCC(Cl)(Cl)C(Cl)(Cl)C(Cl)(Cl)Cl,323.836743984,6,0,7,0
29,29,CC(Cl)(Cl)C(Cl)(Cl)C(Cl)(Cl)C(Cl)(Cl)C(Cl)(Cl)C(Cl)(Cl)C(Cl)(Cl)C(Cl)(Cl)C(Cl)(Cl)C(Cl)(Cl)C(Cl)(Cl)C(Cl)(Cl)Cl,1033.2447920960008,13,0,25,0
30,30,CCCCCCCCC(F)(F)C(F)(F)F,232.125041644,10,5,0,0
31,31,CCCCCCCC(F)(F)F,168.11258514,8,3,0,0
32,32,CCCCCCCC(F)(F)C(F)(F)C(F)(F)F,268.10619802,10,7,0,0
33,33,ClC(Cl)(Cl)C(Cl)(Cl)C(Cl)(Cl)C(Cl)(Cl)C(Cl)(Cl)C(Cl)(Cl)C(Cl)(Cl)C(Cl)(Cl)C(Cl)(Cl)C(Cl)(Cl)C(Cl)(Cl)C(Cl)(Cl)Cl,1053.1901696800007,12,0,26,0
34,34,CC(Cl)(Cl)C(Cl)(Cl)C(Cl)(Cl)C(Cl)(Cl)C(Cl)(Cl)C(Cl)(Cl)C(Cl)(Cl)C(Cl)(Cl)C(Cl)(Cl)C(Cl)(Cl)C(Cl)(Cl)Cl,951.3070867360005,12,0,23,0
35,35,CC(Cl)(Cl)C(Cl)(Cl)C(Cl)(Cl)Cl,295.805443856,4,0,7,0
36,36,CCC(Br)(Br)C(Br)(Br)C(Br)(Br)C(Br)(Br)C(Br)(Br)C(Br)(Br)C(Br)(Br)C(Br)(Br)C(Br)(Br)C(Br)(Br)Br,1806.3242042599993,12,0,0,21
37,37,CCCC(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)F,512.024436404,12,19,0,0
38,38,CCCC(Br)(Br)C(Br)(Br)C(Br)(Br)C(Br)(Br)C(Br)(Br)C(Br)(Br)C(Br)(Br)C(Br)(Br)C(Br)(Br)C(Br)(Br)C(Br)(Br)Br,1990.1765285239992,14,0,0,23
39,39,CCCCCCCCC(Cl)(Cl)C(Cl)(Cl)C(Cl)(Cl)C(Cl)(Cl)C(Cl)(Cl)Cl,557.7904050239999,13,0,11,0
40,40,CCCCCC(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)F,340.068510772,10,11,0,0
41,41,CCCCCCC(Cl)(Cl)C(Cl)(Cl)C(Cl)(Cl)C(Cl)(Cl)C(Cl)(Cl)C(Cl)(Cl)C(Cl)(Cl)C(Cl)(Cl)Cl,775.5722209760003,14,0,17,0
42,42,CCCC(Br)(Br)C(Br)(Br)Br,461.64646072400006,5,0,0,5
43,43,CC(Cl)(Cl)C(Cl)(Cl)C(Cl)(Cl)C(Cl)(Cl)C(Cl)(Cl)C(Cl)(Cl)Cl,541.618559936,7,0,13,0
44,44,CCCCCC(Cl)(Cl)C(Cl)(Cl)C(Cl)(Cl)C(Cl)(Cl)C(Cl)(Cl)C(Cl)(Cl)C(Cl)(Cl)Cl,679.6188655520001,12,0,15,0
45,45,CC(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)F,533.989942716,11,21,0,0
46,46,FC(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)F,387.97445152,7,16,0,0
47,47,CC(F)(F)C(F)(F)C(F)(F)C(F)(F)F,234.009104076,5,9,0,0
48,48,CCCC(Cl)(Cl)Cl,159.961333264,4,0,3,0
49,49,ClC(Cl)(Cl)C(Cl)(Cl)C(Cl)(Cl)C(Cl)(Cl)C(Cl)(Cl)C(Cl)(Cl)C(Cl)(Cl)C(Cl)(Cl)C(Cl)(Cl)Cl,807.3770536000004,9,0,20,0
