	Method	Analyte	lprobe	lflourines	lhydrogen	hhydrogen	hcarbons	Probe	Avg	SD	smiles	formula	f_obj_selectivity	f_obj_error_selectivity	f_obj_sensitivity	f_obj_error_sensitivity	sds_sensitivity	sds_sensitivityError	smilesValid	pc0	pc1	pc2	pc3	pc4
2	PBMD-4CVS-GPU	PFOSD	4	0	10	-1	-1	C4/F0	-0.5018254362338528	0.5340803058873004	CCCC	C4H10	0.12441536859309255	0.5415905872681558	-0.5018254362338528	0.5340803058873004	-0.6262408048269453	0.0898809828650838	True	-49.51832580566406	9.005636215209961	-0.34731000661849976	-3.799499273300171	12.87346076965332
3	PBMD-4CVS-GPU	PFOSD	3	0	8	2	0	C3/F0/NH2	-1.26017275836095	0.8798567182081013	CCCN	C3H9N	-1.5388256208847375	0.8852691143435724	-1.26017275836095	0.8798567182081013	0.2786528625237874	0.0977423154765776	True	-49.475067138671875	9.21619987487793	-0.479390949010849	-3.8331785202026367	12.847733497619629
4	PBMD-4CVS-GPU	PFOSD	8	0	18	-1	-1	C8/F0	-2.620010037803466	0.2642055671486704	CCCCCCCC	C8H18	1.196454690513395	0.29074786989200146	-2.620010037803466	0.2642055671486704	-3.816464728316861	0.1213661490465345	True	-49.430145263671875	8.9788236618042	0.8827664852142334	-3.7962470054626465	11.605146408081055
6	PBMD-4CVS-GPU	PFOSD	6	0	14	-1	-1	C6/F0	-1.8195192650132963	0.640061585382828	CCCCCC	C6H14	-0.04047562514232905	0.6797767395581418	-1.8195192650132963	0.640061585382828	-1.7790436398709673	0.2289488645124026	True	-49.171539306640625	9.326956748962402	0.07896833121776581	-3.6413931846618652	12.023333549499512
8	PBMD-4CVS-GPU	PFOSD	3	0	10	1	1	C3/F0/NH1(CH3)1	0.9333558445990184	0.2723413159147428	CCCNC	C4H11N	1.0006401640015465	0.3775174737626919	0.9333558445990184	0.2723413159147428	-0.0672843194025282	0.2614376611010568	True	-48.70069885253906	9.324210166931152	-0.24373656511306763	-3.7677457332611084	12.228561401367188
12	PBMD-4CVS-GPU	PFOSD	10	0	22	-1	-1	C10/F0	-3.852596568924069	0.212904601318048	CCCCCCCCCC	C10H22	0.5958648300501626	0.24047946418884936	-3.852596568924069	0.212904601318048	-4.448461398974231	0.1118123581459541	True	-47.139896392822266	7.172888278961182	2.530454397201538	-3.3273885250091553	9.26801586151123
13	PBMD-4CVS-GPU	PFOSD	4	3	7	-1	-1	C4/Cl3	-2.216913423412024	0.500439232344526	CCCC(Cl)(Cl)Cl	C4H7Cl3	0.2449702757494867	0.5537135307782631	-2.216913423412024	0.500439232344526	-2.4618836991615107	0.2369794271605703	True	-46.560855865478516	9.157527923583984	-0.3359680771827698	-2.826822280883789	8.26439380645752
14	PBMD-4CVS-GPU	PFOSD	4	3	7	-1	-1	C4/F3	-2.11016110696374	0.303998234357228	CCCC(F)(F)F	C4H7F3	-0.8656436991220389	0.3645042341082893	-2.11016110696374	0.303998234357228	-1.244517407841701	0.20111790121856	True	-46.39179992675781	5.994848728179932	2.0907115936279297	-2.1667330265045166	10.167861938476562
15	PBMD-4CVS-GPU	PFOSD	3	3	5	2	0	C3/F3/NH2	-0.3597588032230672	0.4325291076752421	NCCC(F)(F)F	C3H6F3N	0.986728564454662	0.5325630619548728	-0.3597588032230672	0.4325291076752421	-1.3464873676777291	0.3107120628047912	True	-45.90864181518555	6.088634490966797	2.2995917797088623	-3.4223947525024414	9.87864875793457
16	PBMD-4CVS-GPU	PFOSD	3	0	14	0	3	C3/F0/N(CH3)3	-1.0374975809589195	0.4697421150054245	CCC[N+](C)(C)C	C6H16N	1.1588293736751683	0.5736890936790613	-1.0374975809589195	0.4697421150054245	-2.196326954634088	0.3293349686816347	True	-44.97174072265625	9.598456382751465	2.0380184650421143	-2.2333035469055176	9.807621955871582
