	Method	Analyte	lprobe	lflourines	lhydrogen	hhydrogen	hcarbons	Probe	Avg	SD	smiles	formula	f_obj_selectivity	f_obj_error_selectivity	f_obj_sensitivity	f_obj_error_sensitivity	sds_sensitivity	sds_sensitivityError	smilesValid	pc0	pc1	pc2	pc3	pc4
43	PBMD-4CVS-GPU	PFOSD	4	0	10	2	0	C4Br0/PH2	-1.5074701897416487	0.8912314501884875	PCC(Br)(Br)C(Br)(Br)C(Br)(Br)Br	C4H4Br7P	1.702458068723609	1.0592375212566818	-1.5074701897416487	0.8912314501884875	-3.2099282584652578	0.5724426858934656	True	-27.683618545532227	2.2168076038360596	-0.4661411941051483	6.5358123779296875	2.0538835525512695
80	PBMD-4CVS-GPU	PFOSD	7	0	20	0	2	C7Br0/P(CH3)2	-4.124524727389928	0.6894847203240155	CP(C)CCC(Br)(Br)C(Br)(Br)C(Br)(Br)C(Br)(Br)C(Br)(Br)Br	C9H10Br11P	1.5354393387682013	0.7462547792362941	-4.124524727389928	0.6894847203240155	-5.659964066158129	0.2854943361482397	True	-2.486846685409546	-4.901588439941406	-0.07634060829877853	2.599102735519409	1.4678843021392822
107	PBMD-4CVS-GPU	PFOSD	9	14	8	1	1	C9F14/PH1(CH3)1	-4.273812169387433	1.01406029138025	CCC(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)PC	C10H9F14P	0.36738025990301093	1.0253395965365142	-4.273812169387433	1.01406029138025	-4.641192429290444	0.1516674443361671	True	15.752415657043457	-2.287083864212036	1.9843528270721436	-5.774486541748047	-0.2183082550764084
132	PBMD-4CVS-GPU	PFOSD	12	0	30	0	2	C12Br0/N(CH3)2	-6.876045779610128	0.7487213729700019	CCCCCC(Br)(Br)C(Br)(Br)C(Br)(Br)C(Br)(Br)C(Br)(Br)C(Br)(Br)C(Br)(Br)N(C)C	C14H17Br14N	-3.100481351149976	1.507871368278688	-6.876045779610128	0.7487213729700019	-3.775564428460152	1.3088515457959922	True	27.812999725341797	-0.7057554125785828	-4.353353500366211	1.695000410079956	2.398082733154297
234	PBMD-4CVS-GPU	PFOSD	12	20	8	1	1	C12F20/NH1(CH3)1	-7.404115716987075	0.4011709893078031	CCC(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)NC	C13H9F20N	0.21247272478293144	0.4514777085119241	-7.404115716987075	0.4011709893078031	-7.6165884417700065	0.2071085672322042	True	57.544002532958984	10.308049201965332	1.1743006706237793	-9.860742568969727	-3.0238757133483887
251	PBMD-4CVS-GPU	PFOSD	12	25	5	0	2	C12Cl25/P(CH3)2	-7.404115716987075	0.4011709893078031	CP(C)C(Cl)(Cl)C(Cl)(Cl)C(Cl)(Cl)C(Cl)(Cl)C(Cl)(Cl)C(Cl)(Cl)C(Cl)(Cl)C(Cl)(Cl)C(Cl)(Cl)C(Cl)(Cl)C(Cl)(Cl)C(Cl)(Cl)Cl	C14H6Cl25P	5.433849831320385	0.983212041517085	-7.404115716987075	0.4011709893078031	-12.83796554830746	0.897645673928189	True	67.57230377197266	-1.4279927015304565	0.18969152867794037	6.350352764129639	0.99367356300354
5	PBMD-4CVS-GPU	PFOSD	7	0	16	2	0	C7F0/NH2	-2.099502294956212	0.1482507171552046	CCCCCCCN	C7H17N	1.2894477559130735	0.2831211102658592	-2.099502294956212	0.1482507171552046	-3.3889500508692856	0.2412038306933377	True	-49.220401763916016	8.902825355529785	1.2243008613586426	-3.9446775913238525	11.572583198547363
10	PBMD-4CVS-GPU	PFOSD	7	0	18	1	1	C7F0/NH1(CH3)1	-2.723205966879185	0.2801198405357958	CCCCCCCNC	C8H19N	0.5588476022221633	0.39397810297650177	-2.723205966879185	0.2801198405357958	-3.282053569101348	0.2770408283325101	True	-48.336753845214844	7.8754448890686035	1.9485622644424438	-4.038173198699951	10.79248332977295
21	PBMD-4CVS-GPU	PFOSD	7	0	20	0	2	C7F0/N(CH3)2	-4.273434901992043	0.937106027784464	CCCCCCCN(C)C	C9H21N	-0.932261158568723	1.0578209521283133	-4.273434901992043	0.937106027784464	-3.3411737434233197	0.4907315553861139	True	-43.51172637939453	6.59636926651001	3.9306461811065674	-1.0786010026931763	5.371396064758301
22	PBMD-4CVS-GPU	PFOSD	11	0	24	2	0	C11F0/NH2	-1.7652062790316183	0.2885631605031162	CCCCCCCCCCCN	C11H25N	2.7524075970310626	0.49921943516082623	-1.7652062790316183	0.2885631605031162	-4.517613876062681	0.4073712641347536	True	-43.46446990966797	5.405580997467041	4.66226863861084	-1.3822365999221802	5.251574993133545
